text,label,clean_text_cased,clean_text_lower,label_numeric
Sentence,Sentiment,Sentence,sentence,
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .","the geosolutions technology will leverage benefon 's gps solutions by providing location based search technology , a communities platform , location relevant multimedia content and a new and powerful commercial model .",1.0
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"ESI on lows, down 1.50 to 2.50 BK a real possibility","esi on lows, down 1.50 to 2.50 bk a real possibility",-1.0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",1.0
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .","according to the finnish-russian chamber of commerce , all the major construction companies of finland are operating in russia .",0.0
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .","the swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in finland .",0.0
$SPY wouldn't be surprised to see a green close,positive,SPY wouldn't be surprised to see a green close,spy wouldn't be surprised to see a green close,1.0
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Shell's 70 Billion BG Deal Meets Shareholder Skepticism,shell's 70 billion bg deal meets shareholder skepticism,-1.0
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2 45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","ssh communications security corp stock exchange release october 14 , 2008 at 2 45 pm the company updates its full year outlook and estimates its results to remain at loss for the full year .",-1.0
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Kone 's net sales rose by some 14 year-on-year in the first nine months of 2008 .,kone 's net sales rose by some 14 year-on-year in the first nine months of 2008 .,1.0
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .","the stockmann department store will have a total floor space of over 8,000 square metres and stockmann 's investment in the project will have a price tag of about eur 12 million .",0.0
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Circulation revenue has increased by 5 in Finland and 4 in Sweden in 2008 .,circulation revenue has increased by 5 in finland and 4 in sweden in 2008 .,1.0
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,SAP Q1 disappoints as software licenses down. Real problem? Cloud growth trails MSFT ORCL GOOG CRM ADBE,sap q1 disappoints as software licenses down. real problem? cloud growth trails msft orcl goog crm adbe,-1.0
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .","the subdivision made sales revenues last year of eur 480.7 million eur 414.9 million in 2008 , and operating profits of eur 44.5 million eur 7.4 million .",1.0
Viking Line has canceled some services .,neutral,Viking Line has canceled some services .,viking line has canceled some services .,0.0
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .","ahlstrom corporation stock exchange announcement 7.2.2007 at 10.30 a total of 56,955 new shares of ahlstrom corporation have been subscribed with option rights under the company 's stock option programs i 2001 and ii 2001 .",0.0
$FB gone green on day,positive,FB gone green on day,fb gone green on day,1.0
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30,msft sql server revenue grew double-digit with sql server premium revenue growing over 30,1.0
"According to L+̱nnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"According to L nnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .","according to l nnen tehtaat 's ceo matti karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",0.0
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj RTRKS .,the company 's share is quoted on nasdaq omx helsinki rautaruukki oyj rtrks .,0.0
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,elcoteq se is listed on the nasdaq omx helsinki ltd. .,0.0
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer .,0.0
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","aviva, friends life top forecasts ahead of 5.6 billion pound merger",1.0
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .","in stead of being based on a soft drink , as is usual , the teho energy drink is made with fresh water .",0.0
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,the company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,0.0
The company closed last year with a turnover of about four million euros .,neutral,The company closed last year with a turnover of about four million euros .,the company closed last year with a turnover of about four million euros .,0.0
Shire CEO steps up drive to get Baxalta board talking,positive,Shire CEO steps up drive to get Baxalta board talking,shire ceo steps up drive to get baxalta board talking,1.0
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco A Premier Retail Dividend Play COST,costco a premier retail dividend play cost,1.0
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .","the five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. it will also include apartments .",0.0
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .","the first installment of the cinema series concludes with a profile of finnish inventor olavi linden , whose personal artistic journey and work at fiskars has led to dozens of design awards .",0.0
All are welcome .,neutral,All are welcome .,all are welcome .,0.0
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .","stockmann and swedish sector company ab lindex entered into an agreement on september 30 , 2007 , whereby stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of lindex 's issued shares .",1.0
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .","huhtamaki oyj stock exchange release , 16.9.2008 at 13.32 huhtamaki 's capital markets day for institutional investors and analysts is held in espoo , september 16 , 2008 starting at 13.30 pm finnish time .",0.0
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,We are pleased to welcome Tapeks Noma into Cramo group .,we are pleased to welcome tapeks noma into cramo group .,1.0
- Profit before taxes was EUR 105.9 82.7 million .,neutral,- Profit before taxes was EUR 105.9 82.7 million .,- profit before taxes was eur 105.9 82.7 million .,0.0
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell to Buy BG Group for Nearly 70 Billion,royal dutch shell to buy bg group for nearly 70 billion,1.0
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .","financialwire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",0.0
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,ASSA ABLOY Kaupthing Bank gave a neutral ' recommendation and a share price target of 174 crowns 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,assa abloy kaupthing bank gave a neutral ' recommendation and a share price target of 174 crowns 24.7 - 19 euro on swedish lock maker assa abloy ab .,0.0
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .","the item included restructuring costs of eur1 .6 m , while a year earlier they were eur13 .1 m. diluted eps stood at eur0 .3 versus a loss per share of eur 0.1 .",1.0
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,In 2005 the bank posted a net profit of Lt 8.2 mn .,in 2005 the bank posted a net profit of lt 8.2 mn .,0.0
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,aapl afternoon selloff as usual will be brutal. get ready to lose a ton of money.,-1.0
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,TSLA recalling pretty much every single model X cnnbrk got to short that even at work you jump in money trade,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,-1.0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"Dolce Gabbana has asked the European Union to declare Marimekko Corporation 's Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .","dolce gabbana has asked the european union to declare marimekko corporation 's unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",-1.0
